2020-04-19 00:04:53,703 INFO  16632 --- [SpringContextShutdownHook] org.springframework.scheduling.concurrent.ExecutorConfigurationSupport.shutdown/218 : Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-19 00:05:10,419 INFO  9332 --- [main] org.springframework.boot.StartupInfoLogger.logStarting/55 : Starting HospitalApplication on DESKTOP-HQCJC2V with PID 9332 (D:\IDEAWork\hospital\target\classes started by lenovo in D:\IDEAWork\hospital)
2020-04-19 00:05:10,423 INFO  9332 --- [main] org.springframework.boot.SpringApplication.logStartupProfileInfo/651 : No active profile set, falling back to default profiles: default
2020-04-19 00:05:12,741 WARN  9332 --- [main] org.mybatis.logging.Logger.warn/44 : No MyBatis mapper was found in '[com.aokai.hospital]' package. Please check your configuration.
2020-04-19 00:05:13,739 INFO  9332 --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize/92 : Tomcat initialized with port(s): 8002 (http)
2020-04-19 00:05:13,759 INFO  9332 --- [main] org.apache.juli.logging.DirectJDKLog.log/173 : Initializing ProtocolHandler ["http-nio-8002"]
2020-04-19 00:05:13,760 INFO  9332 --- [main] org.apache.juli.logging.DirectJDKLog.log/173 : Starting service [Tomcat]
2020-04-19 00:05:13,760 INFO  9332 --- [main] org.apache.juli.logging.DirectJDKLog.log/173 : Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-19 00:05:14,044 INFO  9332 --- [main] org.apache.juli.logging.DirectJDKLog.log/173 : Initializing Spring embedded WebApplicationContext
2020-04-19 00:05:14,044 INFO  9332 --- [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext/284 : Root WebApplicationContext: initialization completed in 3404 ms
2020-04-19 00:05:15,345 INFO  9332 --- [main] org.springframework.scheduling.concurrent.ExecutorConfigurationSupport.initialize/181 : Initializing ExecutorService 'applicationTaskExecutor'
2020-04-19 00:05:15,561 INFO  9332 --- [main] tk.mybatis.mapper.autoconfigure.MapperCacheDisabler.removeStaticCache/60 : Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-04-19 00:05:15,565 INFO  9332 --- [main] tk.mybatis.mapper.autoconfigure.MapperCacheDisabler.removeStaticCache/60 : Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-04-19 00:05:15,576 INFO  9332 --- [main] tk.mybatis.mapper.autoconfigure.MapperCacheDisabler.removeStaticCache/60 : Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-04-19 00:05:15,579 INFO  9332 --- [main] tk.mybatis.mapper.autoconfigure.MapperCacheDisabler.removeEntityHelperCache/83 : Clear EntityHelper entityTableMap cache.
2020-04-19 00:05:15,862 INFO  9332 --- [main] org.apache.juli.logging.DirectJDKLog.log/173 : Starting ProtocolHandler ["http-nio-8002"]
2020-04-19 00:05:15,938 INFO  9332 --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start/204 : Tomcat started on port(s): 8002 (http) with context path ''
2020-04-19 00:05:15,946 INFO  9332 --- [main] org.springframework.boot.StartupInfoLogger.logStarted/61 : Started HospitalApplication in 6.644 seconds (JVM running for 8.324)
